location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
jagatpura, jagatpura,6466000.0,1494,4327.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-166-sq-yd-plot-in-jagatpura/9737826
jagatpura, jagatpura,6420999.999999999,1089,5896.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-121-sq-yd-plot-in-jagatpura/9737835
jagatpura, jagatpura,6413000.0,1017,6305.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-113-sq-yd-plot-in-jagatpura/9737785
jagatpura, jagatpura,6455000.0,1395,4627.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-155-sq-yd-plot-in-jagatpura/9737815
jagatpura, jagatpura,6443000.000000001,1287,5006.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-143-sq-yd-plot-in-jagatpura/9737790
jagatpura, jagatpura,6442000.0,1278,5040.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-142-sq-yd-plot-in-jagatpura/9737848
jagatpura, jagatpura,6491000.0,1719,3776.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-191-sq-yd-plot-in-jagatpura/9737843
jagatpura, jagatpura,6452000.0,1368,4716.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-152-sq-yd-plot-in-jagatpura/9737849
jagatpura, jagatpura,6422000.0,1098,5848.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-122-sq-yd-plot-in-jagatpura/9737846
jagatpura, jagatpura,6412000.0,1008,6361.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-112-sq-yd-plot-in-jagatpura/9737845
ajmer road, ajmer road,1718000.0,1242,1383.0,,,,,https://www.squareyards.com/resale-138-sq-yd-plot-in-omaxe-city/9668739
jagatpura, jagatpura,6461000.0,1449,4458.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-161-sq-yd-plot-in-jagatpura/9737839
jagatpura, jagatpura,6456000.0,1404,4598.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-156-sq-yd-plot-in-jagatpura/9737781
jagatpura, jagatpura,6431000.0,1179,5454.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-131-sq-yd-plot-in-jagatpura/9737836
jagatpura, jagatpura,6464000.0,1476,4379.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-164-sq-yd-plot-in-jagatpura/9737806
jagatpura, jagatpura,6436000.0,1224,5258.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-136-sq-yd-plot-in-jagatpura/9737824
